ccm,scm,usm,coords
0,4,51,"[[1533, 683], [1532, 652], [1550, 652], [1550, 684]]"
0,4,52,"[[1100, 1121], [1139, 1119], [1140, 1140], [1098, 1141]]"
0,4,53,"[[1100, 1100], [1139, 1098], [1140, 1119], [1098, 1120]]"
0,4,54,"[[1100, 1080], [1139, 1078], [1140, 1099], [1098, 1100]]"
0,4,55,"[[1100, 1054], [1139, 1052], [1140, 1073], [1098, 1074]]"
0,4,56,"[[1100, 1032], [1139, 1030], [1140, 1051], [1098, 1052]]"
0,4,57,"[[1100, 1011], [1139, 1009], [1140, 1030], [1098, 1031]]"
0,4,58,"[[1100, 985], [1139, 983], [1140, 1004], [1098, 1005]]"
0,4,59,"[[1100, 964], [1139, 962], [1140, 983], [1098, 984]]"
0,4,60,"[[1108, 1281], [1147, 1279], [1148, 1300], [1106, 1301]]"
0,4,61,"[[1108, 1253], [1147, 1251], [1148, 1272], [1106, 1273]]"
0,4,62,"[[1114, 1248], [1113, 1207], [1134, 1207], [1134, 1249]]"
0,4,63,"[[1136, 1248], [1135, 1207], [1156, 1207], [1156, 1249]]"
0,4,64,"[[1155, 1248], [1154, 1207], [1175, 1207], [1175, 1249]]"
0,4,65,"[[1182, 1248], [1181, 1207], [1202, 1207], [1202, 1249]]"
0,4,66,"[[1204, 1248], [1203, 1207], [1224, 1207], [1224, 1249]]"
0,5,0,"[[1224, 1248], [1223, 1207], [1244, 1207], [1244, 1249]]"
0,5,1,"[[1247, 951], [1246, 910], [1267, 910], [1267, 952]]"
0,4,67,"[[1269, 951], [1268, 910], [1289, 910], [1289, 952]]"
0,5,3,"[[1249, 1239], [1248, 1207], [1265, 1207], [1265, 1240]]"
0,5,4,"[[1315, 951], [1314, 910], [1335, 910], [1335, 952]]"
0,5,5,"[[1336, 951], [1335, 910], [1356, 910], [1356, 952]]"
0,5,6,"[[1357, 951], [1356, 910], [1377, 910], [1377, 952]]"
0,5,7,"[[1382, 951], [1381, 910], [1402, 910], [1402, 952]]"
0,5,8,"[[1404, 951], [1403, 910], [1424, 910], [1424, 952]]"
0,5,9,"[[1425, 951], [1424, 910], [1445, 910], [1445, 952]]"
0,5,10,"[[1449, 951], [1448, 910], [1469, 910], [1469, 952]]"
0,5,11,"[[1471, 951], [1470, 910], [1491, 910], [1491, 952]]"
0,5,12,"[[1492, 951], [1491, 910], [1512, 910], [1512, 952]]"
0,5,13,"[[1517, 951], [1516, 910], [1537, 910], [1537, 952]]"
0,5,14,"[[1538, 951], [1537, 910], [1558, 910], [1558, 952]]"
0,5,15,"[[1538, 909], [1537, 868], [1558, 868], [1558, 910]]"
